Client,Farm,Field,acres,senTile,unq_fldid,type,elevation,utm_zone,name,state
Parkinson Seed Farm,Ashton,22,59.07859518,12TVP,400,active,easternIdaho_32612,32612,,ID
Parkinson Seed Farm,Ashton,21,129.1613702,12TVP,399,active,easternIdaho_32612,32612,,ID
Parkinson Seed Farm,Ashton,20,275.6018414,12TVP,398,active,easternIdaho_32612,32612,,ID
Parkinson Seed Farm,Ashton,18,136.4807537,12TVP,397,active,easternIdaho_32612,32612,,ID
Parkinson Seed Farm,Ashton,19,118.5844623,12TVP,401,active,easternIdaho_32612,32612,,ID
Parkinson Seed Farm,Ashton,17,129.6880322,12TVP,402,active,easternIdaho_32612,32612,,ID
Parkinson Seed Farm,Ashton,14,65.0988525,12TVP,403,active,easternIdaho_32612,32612,,ID
Parkinson Seed Farm,Ashton,16,199.3286335,12TVP,404,active,easternIdaho_32612,32612,,ID
Parkinson Seed Farm,Ashton,15,108.9414729,12TVP,405,active,easternIdaho_32612,32612,,ID
Parkinson Seed Farm,Ashton,13,111.025125,12TVP,406,active,easternIdaho_32612,32612,,ID
Parkinson Seed Farm,Ashton,8,115.4594996,12TVP,407,active,easternIdaho_32612,32612,,ID
Parkinson Seed Farm,Ashton,12,165.1396601,12TVP,408,active,easternIdaho_32612,32612,,ID
Parkinson Seed Farm,Ashton,7,185.6474188,12TVP,409,active,easternIdaho_32612,32612,,ID
Parkinson Seed Farm,Ashton,6,153.4165775,12TVP,410,active,easternIdaho_32612,32612,,ID
Parkinson Seed Farm,Ashton,5,170.0388678,12TVP,411,active,easternIdaho_32612,32612,,ID
Parkinson Seed Farm,Ashton,4,148.3150273,12TVP,412,active,easternIdaho_32612,32612,,ID
Parkinson Seed Farm,Ashton,11,94.18637319,12TVP,413,active,easternIdaho_32612,32612,,ID
Parkinson Seed Farm,Ashton,10,35.96375219,12TVP,414,active,easternIdaho_32612,32612,,ID
Parkinson Seed Farm,Ashton,9,104.7364299,12TVP,415,active,easternIdaho_32612,32612,,ID
Parkinson Seed Farm,Ashton,3,174.9954612,12TVP,416,active,easternIdaho_32612,32612,,ID
Parkinson Seed Farm,Ashton,2,257.3868319,12TVP,417,active,easternIdaho_32612,32612,,ID
Parkinson Seed Farm,Ashton,1,263.6478856,12TVP,396,active,easternIdaho_32612,32612,,ID
Arcadia Ag,Banks,Banks Pivot,154.3142021,12TUR,431,active,,32612,,
Arcadia Ag,Banks,Banks Wiper,79.02217214,12TUR,442,active,,32612,,
Teton Organics,Bauers,Eddies,36.25222342,,605,active,,,,ID
Western Ag,Bauers,Birch Place,59.89033439,,600,active,,,,ID
Western Ag,Bauers,Corner Arm Pivot,149.2166702,,601,active,,,,ID
Western Ag,Bauers,Stacy's Shop,244.1045273,,602,active,,,,ID
Western Ag,Bauers,Brigg Gardner,55.03335573,,603,active,,,,ID
Western Ag,Bauers,Eddies,70.61837781,,604,active,,,,ID
Western Ag,Bauers,Bores on,69.6897701,,608,active,,,,
Grand Teton Organics,Bauer's,Forsyth,53.89758942,,597,active,,,,ID
Grand Teton Organics,Bauer's,West Wilding,34.56348358,,598,active,,,,ID
Grand Teton Organics,Bauer's,East Wilding,29.48779395,,599,active,,,,ID
Grand Teton Organics,Bauer's,Miss Ski,295.9452538,,607,active,,,,ID
Schwendiman Farms Inc,Blanchard Place,12E,137.8740691,12TVP,215,active,easternIdaho_32612,32612,,ID
Schwendiman Farms Inc,Blanchard Place,10,87.27897469,12TVP,212,active,easternIdaho_32612,32612,,ID
Schwendiman Farms Inc,Blanchard Place,11,32.02930989,12TVP,213,active,easternIdaho_32612,32612,,ID
Schwendiman Farms Inc,Blanchard Place,12W,143.9800836,12TVP,214,active,easternIdaho_32612,32612,,ID
John Sharp,Dr Lee's,Lee's,39.09495,12TVP,586,active,easternIdaho_32612,32612,,ID
David Schwendiman Farms,Dry Farm,East of 10 Cellar,74.96384207,12TVP,318,active,easternIdaho_32612,32612,,ID
David Schwendiman Farms,Dry Farm,Martineau Dry Farm,319.8306938,12TVP,347,active,easternIdaho_32612,32612,,ID
David Schwendiman Farms,Dry Farm,Dave's Old Steep Handlines,101.5702847,12TVP,338,active,easternIdaho_32612,32612,,ID
Parkinson Foundation Seed,Ellis,Pivot 6,126.3806869,11TQK,1,active,salmon_32611,32611,,ID
Parkinson Foundation Seed,Ellis,Pivot 3,126.0979379,11TQK,68,active,salmon_32611,32611,pfs_ellis_3,ID
Parkinson Foundation Seed,Ellis,Pivot 4,104.3819968,11TQK,55,active,salmon_32611,32611,,ID
Parkinson Foundation Seed,Ellis,Pivot 5,73.77503977,11TQK,31,active,salmon_32611,32611,pfs_ellis_5,ID
Parkinson Foundation Seed,Ellis,Pivot 9,9.788562517,11TQK,111,active,salmon_32611,32611,,ID
Parkinson Foundation Seed,Ellis,Pivot 2,133.5193207,11TQK,93,active,salmon_32611,32611,pfs_ellis_2,ID
Parkinson Foundation Seed,Ellis,Pivot 8,7.125515421,11TQK,136,active,salmon_32611,32611,,ID
Parkinson Foundation Seed,Ellis,Pivot 7,64.84056856,11TQK,582,active,salmon_32611,32611,pfs_ellis_7,ID
Parkinson Foundation Seed,Ellis,Pivot 1,39.39414561,11TQK,583,active,salmon_32611,32611,,ID
John Sharp,Harris,4,146.3762464,12TVP,391,active,easternIdaho_32612,32612,,ID
John Sharp,Harris,3,140.1186278,12TVP,392,active,easternIdaho_32612,32612,,ID
